sr_id,opponent_id,rpi_id,betting_id,covers_id
abilene-christian,AbileneChristian,AblChristian,AbileneChristian,abilene-christian-wildcats
air-force,AirForce,AirForce,AirForce,air-force-falcons
akron,Akron,Akron,Akron,akron-zips
alabama-am,AlabamaAM,AlabAM,AlabamaAM,alabama-a-m-bulldogs
alabama,Alabama,Alabama,Alabama,alabama-crimson-tide
alabama-state,AlabamaState,AlabamaSt,AlabamaSt,alabama-st.-hornets
albany-ny,AlbanyNY,Albany,Albany,albany-great-danes
alcorn-state,AlcornState,AlcornState,AlcornSt,alcorn-st.-braves
american,American,American,AmericanU,american-eagles
appalachian-state,AppalachianState,AppState,AppalachianSt,appalachian-st.-mountaineers
arizona-state,ArizonaState,ArizonaSt,ArizonaState,arizona-state-sun-devils
arizona,Arizona,Arizona,Arizona,arizona-wildcats
arkansas,Arkansas,Arkansas,Arkansas,arkansas-razorbacks
arkansas-state,ArkansasState,ArkansasSt,ArkansasSt,arkansas-st.-red-wolves
arkansas-pine-bluff,ArkansasPineBluff,ArkPineBl,ArkansasPineBluff,arkansas-pine-bluff-golden-lions
army,Army,Army,Army,army-black-knights
auburn,Auburn,Auburn,Auburn,auburn-tigers
austin-peay,AustinPeay,AustinPeay,AustinPeay,austin-peay-governors
ball-state,BallState,BallState,BallSt,ball-st.-cardinals
baylor,Baylor,Baylor,Baylor,baylor-bears
bellarmine,Bellarmine,Bellarmine,,bellarmine-knights
belmont,Belmont,Belmont,Belmont,belmont-bruins
bethune-cookman,BethuneCookman,BethCook,BethuneCookman,bethune-cookman-wildcats
binghamton,Binghamton,Binghamton,Binghamton,binghamton-bearcats
boise-state,BoiseState,BoiseState,BoiseSt,boise-st.-broncos
boston-college,BostonCollege,BostonCol,BostonCollege,boston-college-eagles
boston-university,BostonUniversity,BostonU,BostonU,boston-u-terriers
bowling-green-state,BowlingGreenState,BowlingGrn,BowlingGreen,bowling-green-falcons
bradley,Bradley,Bradley,Bradley,bradley-braves
brigham-young,BrighamYoung,BYU,BrighamYoung,brigham-young-cougars
brown,Brown,Brown,Brown,brown-bears
bryant,Bryant,Bryant,Bryant,bryant-bulldogs
bucknell,Bucknell,Bucknell,Bucknell,bucknell-bison
buffalo,Buffalo,Buffalo,Buffalo,buffalo-bulls
butler,Butler,Butler,Butler,butler-bulldogs
cal-poly,CalPoly,CalPoly,CalPolySLO,cal-poly-slo-mustangs
cal-state-bakersfield,CalStateBakersfield,CSBakersfld,CSUBakersfield,csu-bakersfield-roadrunners
cal-state-fullerton,CalStateFullerton,CSFullerton,CSUFullerton,csu-fullerton-titans
cal-state-northridge,CalStateNorthridge,CalStNrdge,CSUNorthridge,csu-northridge-matadors
california-baptist,CaliforniaBaptist,CalBaptist,CaliforniaBaptist,california-baptist-lancers
california,California,California,California,california-golden-bears
campbell,Campbell,Campbell,Campbell,campbell-fighting-camels
canisius,Canisius,Canisius,Canisius,canisius-golden-griffins
central-arkansas,CentralArkansas,CentralArk,CentralArkansas,central-arkansas-bears
central-connecticut-state,CentralConnecticutState,CentralConn,CentralConnSt,central-conn.-st.-blue-devils
central-florida,CentralFlorida,CentralFL,CentralFlorida,central-florida-knights
central-michigan,CentralMichigan,CentralMich,CentralMichigan,central-michigan-chippewas
charleston-southern,CharlestonSouthern,CharlSouth,CharlestonSouthern,charleston-southern-buccaneers
charlotte,Charlotte,Charlotte,Charlotte,charlotte-49ers
chattanooga,Chattanooga,Chattanooga,Chattanooga,chattanooga-mocs
chicago-state,ChicagoState,ChicagoSt,ChicagoSt,chicago-st.-cougars
cincinnati,Cincinnati,Cincinnati,Cincinnati,cincinnati-bearcats
clemson,Clemson,Clemson,Clemson,clemson-tigers
cleveland-state,ClevelandState,ClevelandSt,ClevelandSt,cleveland-st.-vikings
coastal-carolina,CoastalCarolina,CoastalCar,CoastalCarolina,coastal-carolina-chanticleers
colgate,Colgate,Colgate,Colgate,colgate-raiders
college-of-charleston,CollegeofCharleston,ColCharlestn,Charleston,charleston-cougars
colorado,Colorado,Colorado,Colorado,colorado-buffaloes
colorado-state,ColoradoState,ColoradoSt,ColoradoSt,colorado-st.-rams
columbia,Columbia,Columbia,Columbia,columbia-lions
connecticut,Connecticut,Connecticut,Connecticut,connecticut-huskies
coppin-state,CoppinState,CoppinState,CoppinSt,coppin-st.-eagles
cornell,Cornell,Cornell,Cornell,cornell-big-red
creighton,Creighton,Creighton,Creighton,creighton-bluejays
dartmouth,Dartmouth,Dartmouth,Dartmouth,dartmouth-big-green
davidson,Davidson,Davidson,Davidson,davidson-wildcats
dayton,Dayton,Dayton,Dayton,dayton-flyers
delaware,Delaware,Delaware,Delaware,delaware-blue-hens
delaware-state,DelawareState,DelawareSt,DelawareState,delaware-state-hornets
denver,Denver,Denver,Denver,denver-pioneers
depaul,DePaul,DePaul,DePaul,depaul-blue-demons
detroit-mercy,DetroitMercy,Detroit,DetroitMercy,detroit-mercy-titans
dixie-state,DixieState,DixieState,DixieState,utah-tech-trailblazers
drake,Drake,Drake,Drake,drake-bulldogs
drexel,Drexel,Drexel,Drexel,drexel-dragons
duke,Duke,Duke,Duke,duke-blue-devils
duquesne,Duquesne,Duquesne,Duquesne,duquesne-dukes
east-carolina,EastCarolina,ECarolina,EastCarolina,east-carolina-pirates
east-tennessee-state,EastTennesseeState,ETennSt,EastTennesseeSt,east-tennessee-st.-buccaneers
eastern-illinois,EasternIllinois,EIllinois,EasternIllinois,eastern-illinois-panthers
eastern-kentucky,EasternKentucky,EKentucky,EasternKentucky,eastern-kentucky-colonels
eastern-michigan,EasternMichigan,EMichigan,EasternMichigan,eastern-michigan-eagles
eastern-washington,EasternWashington,EWashingtn,EasternWashington,eastern-washington-eagles
elon,Elon,Elon,ElonUniversity,elon-university-phoenix
evansville,Evansville,Evansville,Evansville,evansville-purple-aces
fairfield,Fairfield,Fairfield,Fairfield,fairfield-stags
fairleigh-dickinson,FairleighDickinson,FDickinson,FairleighDickinson,fairleigh-dickinson-knights
florida-am,FloridaAM,FloridaAM,FloridaAM,florida-a-m-rattlers
florida-atlantic,FloridaAtlantic,FlaAtlantic,FloridaAtlantic,florida-atlantic-owls
florida,Florida,Florida,Florida,florida-gators
florida-gulf-coast,FloridaGulfCoast,FlaGulfCst,FloridaGulfCoast,florida-gulf-coast-eagles
florida-international,FloridaInternational,FloridaIntl,FloridaInternational,florida-international-panthers
florida-state,FloridaState,FloridaSt,FloridaState,florida-state-seminoles
fordham,Fordham,Fordham,Fordham,fordham-rams
fresno-state,FresnoState,FresnoSt,FresnoSt,fresno-st.-bulldogs
furman,Furman,Furman,Furman,furman-paladins
gardner-webb,GardnerWebb,GardWebb,GardnerWebb,gardner-webb-runnin-bulldogs
george-mason,GeorgeMason,GeoMason,GeorgeMason,george-mason-patriots
george-washington,GeorgeWashington,GeoWshgtn,GeorgeWashington,george-washington-colonials
georgetown,Georgetown,Georgetown,Georgetown,georgetown-hoyas
georgia,Georgia,Georgia,Georgia,georgia-bulldogs
georgia-southern,GeorgiaSouthern,GASouthern,GeorgiaSouthern,georgia-southern-eagles
georgia-state,GeorgiaState,GeorgiaSt,GeorgiaSt,georgia-st.-panthers
georgia-tech,GeorgiaTech,GATech,GeorgiaTech,georgia-tech-yellow-jackets
gonzaga,Gonzaga,Gonzaga,Gonzaga,gonzaga-bulldogs
grambling,Grambling,GramblingSt,GramblingState,grambling-state-tigers
grand-canyon,GrandCanyon,GrdCanyon,GrandCanyon,grand-canyon-antelopes
green-bay,GreenBay,WIGrnBay,GreenBay,green-bay-phoenix
hampton,Hampton,Hampton,Hampton,hampton-pirates
hartford,Hartford,Hartford,Hartford,hartford-hawks
harvard,Harvard,Harvard,Harvard,harvard-crimson
hawaii,Hawaii,Hawaii,Hawaii,hawaii-rainbow-warriors
high-point,HighPoint,HighPoint,HighPoint,high-point-panthers
hofstra,Hofstra,Hofstra,Hofstra,hofstra-pride
holy-cross,HolyCross,HolyCross,HolyCross,holy-cross-crusaders
houston-baptist,HoustonBaptist,HoustonBap,HoustonBaptist,houston-baptist-huskies
houston,Houston,Houston,Houston,houston-cougars
howard,Howard,Howard,Howard,howard-bison
idaho-state,IdahoState,IdahoState,IdahoState,idaho-state-bengals
idaho,Idaho,Idaho,Idaho,idaho-vandals
illinois,Illinois,Illinois,Illinois,illinois-fighting-illini
illinois-state,IllinoisState,IllinoisSt,IllinoisSt,illinois-st.-redbirds
illinois-chicago,IllinoisChicago,ILChicago,IllinoisChicago,illinois-chicago-flames
incarnate-word,IncarnateWord,IncarWord,IncarnateWord,incarnate-word-cardinals
indiana,Indiana,Indiana,Indiana,indiana-hoosiers
indiana-state,IndianaState,IndianaSt,IndianaSt,indiana-st.-sycamores
iona,Iona,Iona,Iona,iona-gaels
iowa,Iowa,Iowa,Iowa,iowa-hawkeyes
iowa-state,IowaState,IowaState,IowaState,iowa-state-cyclones
iupui,IUPUI,IUPUI,IUPUI,iupui-jaguars
jackson-state,JacksonState,JacksonSt,JacksonState,jackson-state-tigers
jacksonville,Jacksonville,Jacksonville,Jacksonville,jacksonville-dolphins
jacksonville-state,JacksonvilleState,JksnvilleSt,JacksonvilleSt,jacksonville-st.-gamecocks
james-madison,JamesMadison,JamesMad,JamesMadison,james-madison-dukes
missouri-kansas-city,KansasCity,UMKC,KansasCity,kansas-city-roos
kansas,Kansas,Kansas,Kansas,kansas-jayhawks
kansas-state,KansasState,KansasSt,KansasState,kansas-state-wildcats
kennesaw-state,KennesawState,KennesawSt,KennesawSt,kennesaw-st.-owls
kent-state,KentState,KentState,KentSt,kent-st.-golden-flashes
kentucky,Kentucky,Kentucky,Kentucky,kentucky-wildcats
la-salle,LaSalle,LaSalle,LaSalle,la-salle-explorers
lafayette,Lafayette,Lafayette,Lafayette,lafayette-leopards
lamar,Lamar,Lamar,Lamar,lamar-cardinals
lehigh,Lehigh,Lehigh,Lehigh,lehigh-mountain-hawks
liberty,Liberty,Liberty,Liberty,liberty-flames
lipscomb,Lipscomb,Lipscomb,Lipscomb,lipscomb-bisons
arkansas-little-rock,LittleRock,ARLitRock,LittleRock,little-rock-trojans
long-beach-state,LongBeachState,LgBeachSt,LongBeachSt,long-beach-st.-beach
long-island-university,LongIslandUniversity,LIU,,liu-sharks
longwood,Longwood,Longwood,Longwood,longwood-lancers
louisiana-lafayette,Louisiana,LALafayette,ULLafayette,ul-lafayette-ragin-cajuns
louisiana-state,LouisianaState,LSU,LouisianaState,louisiana-state-tigers
louisiana-tech,LouisianaTech,LATech,LouisianaTech,louisiana-tech-bulldogs
louisiana-monroe,LouisianaMonroe,LAMonroe,ULMonroe,ul-monroe-warhawks
louisville,Louisville,Louisville,Louisville,louisville-cardinals
loyola-il,LoyolaIL,LoyolaChi,LoyolaChicago,loyola-chicago-ramblers
loyola-md,LoyolaMD,LoyolaMD,LoyolaMD,loyola-md-greyhounds
loyola-marymount,LoyolaMarymount,LoyolaMymt,LoyolaMarymount,loyola-marymount-lions
maine,Maine,Maine,Maine,maine-black-bears
manhattan,Manhattan,Manhattan,Manhattan,manhattan-jaspers
marist,Marist,Marist,Marist,marist-red-foxes
marquette,Marquette,Marquette,Marquette,marquette-golden-eagles
marshall,Marshall,Marshall,Marshall,marshall-thundering-herd
maryland,Maryland,Maryland,Maryland,maryland-terrapins
maryland-baltimore-county,MarylandBaltimoreCounty,MarylandBC,UMBC,umbc-retrievers
maryland-eastern-shore,MarylandEasternShore,MarylandES,MarylandEasternShore,maryland-eastern-shore-hawks
massachusetts,Massachusetts,UMass,Massachusetts,massachusetts-minutemen
massachusetts-lowell,MassachusettsLowell,MassLowell,MassachusettsLowell,massachusetts-lowell-river-hawks
mcneese-state,McNeeseState,McNeeseSt,,mcneese-st.-cowboys
memphis,Memphis,Memphis,Memphis,memphis-tigers
mercer,Mercer,Mercer,Mercer,mercer-bears
merrimack,Merrimack,Merrimack,Merrimack,merrimack-warriors
miami-fl,MiamiFL,MiamiFL,MiamiFlorida,miami-hurricanes
miami-oh,MiamiOH,MiamiOH,MiamiOH,miami-oh-redhawks
michigan-state,MichiganState,MichiganSt,MichiganSt,michigan-st.-spartans
michigan,Michigan,Michigan,Michigan,michigan-wolverines
middle-tennessee,MiddleTennessee,MiddleTenn,MiddleTennesseeSt,middle-tennessee-st.-blue-raiders
milwaukee,Milwaukee,WIMilwkee,Milwaukee,milwaukee-panthers
minnesota,Minnesota,Minnesota,Minnesota,minnesota-golden-gophers
mississippi,Mississippi,Mississippi,Mississippi,mississippi-rebels
mississippi-state,MississippiState,MissState,MississippiState,mississippi-state-bulldogs
mississippi-valley-state,MississippiValleyState,MissValSt,MississippiValleyState,mississippi-valley-state-delta-devils
missouri-state,MissouriState,MissouriSt,MissouriSt,missouri-st.-bears
missouri,Missouri,Missouri,Missouri,missouri-tigers
monmouth,Monmouth,Monmouth,MonmouthNJ,monmouth-nj-hawks
montana,Montana,Montana,Montana,montana-grizzlies
montana-state,MontanaState,MontanaSt,MontanaSt,montana-st.-bobcats
morehead-state,MoreheadState,MoreheadSt,MoreheadSt,morehead-st.-eagles
morgan-state,MorganState,MorganSt,MorganSt,morgan-st.-bears
mount-st-marys,MountStMarys,MtStMarys,MountStMarys,mount-st.-mary-s-mountaineers
murray-state,MurrayState,MurraySt,MurraySt,murray-st.-racers
navy,Navy,Navy,Navy,navy-midshipmen
north-carolina-state,NCState,NCState,NCState,nc-state-wolfpack
nebraska,Nebraska,Nebraska,Nebraska,nebraska-cornhuskers
nevada,Nevada,Nevada,Nevada,nevada-wolf-pack
nevada-las-vegas,NevadaLasVegas,UNLV,UNLV,unlv-rebels
new-hampshire,NewHampshire,NHampshire,NewHampshire,new-hampshire-wildcats
new-mexico,NewMexico,NewMexico,NewMexico,new-mexico-lobos
new-mexico-state,NewMexicoState,NMexState,NewMexicoSt,new-mexico-st.-aggies
new-orleans,NewOrleans,NewOrleans,NewOrleans,new-orleans-privateers
niagara,Niagara,Niagara,Niagara,niagara-purple-eagles
nicholls-state,NichollsState,NichollsSt,NichollsState,nicholls-state-colonels
njit,NJIT,NJIT,NJIT,njit-highlanders
norfolk-state,NorfolkState,NorfolkSt,NorfolkState,norfolk-state-spartans
north-alabama,NorthAlabama,NAlabama,NorthAlabama,north-alabama-lions
north-carolina-at,NorthCarolinaAT,NCAT,NorthCarolinaAT,north-carolina-a-t-aggies
north-carolina-central,NorthCarolinaCentral,NCCentral,NorthCarolinaCentral,north-carolina-central-eagles
north-carolina,NorthCarolina,NCarolina,NorthCarolina,north-carolina-tar-heels
north-dakota,NorthDakota,NorthDakota,NorthDakota,north-dakota-fighting-hawks
north-dakota-state,NorthDakotaState,NDakotaSt,NorthDakotaState,north-dakota-state-bison
north-florida,NorthFlorida,NFlorida,NorthFlorida,north-florida-ospreys
north-texas,NorthTexas,NorthTexas,NorthTexas,north-texas-mean-green
northeastern,Northeastern,Northeastrn,Northeastern,northeastern-huskies
northern-arizona,NorthernArizona,NArizona,NorthernArizona,northern-arizona-lumberjacks
northern-colorado,NorthernColorado,NColorado,NorthernColorado,northern-colorado-bears
northern-illinois,NorthernIllinois,NIllinois,NorthernIllinois,northern-illinois-huskies
northern-iowa,NorthernIowa,NIowa,NorthernIowa,northern-iowa-panthers
northern-kentucky,NorthernKentucky,NKentucky,NorthernKentucky,northern-kentucky-norse
northwestern-state,NorthwesternState,NWState,NorthwesternSt,northwestern-st.-demons
northwestern,Northwestern,Northwestern,Northwestern,northwestern-wildcats
notre-dame,NotreDame,NotreDame,NotreDame,notre-dame-fighting-irish
oakland,Oakland,Oakland,Oakland,oakland-golden-grizzlies
ohio,Ohio,Ohio,Ohio,ohio-bobcats
ohio-state,OhioState,OhioState,OhioSt,ohio-st.-buckeyes
oklahoma,Oklahoma,Oklahoma,Oklahoma,oklahoma-sooners
oklahoma-state,OklahomaState,OklahomaSt,OklahomaState,oklahoma-state-cowboys
old-dominion,OldDominion,OldDominion,OldDominion,old-dominion-monarchs
nebraska-omaha,Omaha,NebOmaha,NebraskaOmaha,nebraska-omaha-mavericks
oral-roberts,OralRoberts,OralRoberts,OralRoberts,oral-roberts-golden-eagles
oregon,Oregon,Oregon,Oregon,oregon-ducks
oregon-state,OregonState,OregonSt,OregonSt,oregon-st.-beavers
pacific,Pacific,Pacific,Pacific,pacific-tigers
penn-state,PennState,PennState,PennSt,penn-st.-nittany-lions
pennsylvania,Pennsylvania,UPenn,Pennsylvania,pennsylvania-quakers
pepperdine,Pepperdine,Pepperdine,Pepperdine,pepperdine-waves
pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,pittsburgh-panthers
portland,Portland,Portland,Portland,portland-pilots
portland-state,PortlandState,PortlandSt,PortlandSt,portland-st.-vikings
prairie-view,PrairieView,PrairieView,PrairieViewAM,prairie-view-a-m-panthers
presbyterian,Presbyterian,Presbyterian,Presbyterian,presbyterian-blue-hose
princeton,Princeton,Princeton,Princeton,princeton-tigers
providence,Providence,Providence,Providence,providence-friars
purdue,Purdue,Purdue,Purdue,purdue-boilermakers
ipfw,PurdueFortWayne,IPFW,PurdueFortWayne,purdue-fort-wayne-mastodons
quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,quinnipiac-bobcats
radford,Radford,Radford,Radford,radford-highlanders
rhode-island,RhodeIsland,RhodeIsland,RhodeIsland,rhode-island-rams
rice,Rice,Rice,Rice,rice-owls
richmond,Richmond,Richmond,Richmond,richmond-spiders
rider,Rider,Rider,Rider,rider-broncs
robert-morris,RobertMorris,RobMorris,RobertMorris,robert-morris-colonials
rutgers,Rutgers,Rutgers,Rutgers,rutgers-scarlet-knights
sacramento-state,SacramentoState,SacState,SacramentoState,sacramento-state-hornets
sacred-heart,SacredHeart,SacredHrt,SacredHeart,sacred-heart-pioneers
saint-francis-pa,SaintFrancisPA,StFranPA,StFrancisPA,st.-francis-pa-red-flash
saint-josephs,SaintJosephs,StJosephs,SaintJosephs,saint-joseph-s-hawks
saint-louis,SaintLouis,SaintLouis,SaintLouis,saint-louis-billikens
saint-marys-ca,SaintMarysCA,StMarys,SaintMarys,saint-mary-s-gaels
saint-peters,SaintPeters,StPeters,SaintPeters,saint-peter-s-peacocks
sam-houston-state,SamHoustonState,SamHousSt,SamHoustonSt,sam-houston-st.-bearkats
samford,Samford,Samford,Samford,samford-bulldogs
san-diego-state,SanDiegoState,SanDiegoSt,SanDiegoSt,san-diego-st.-aztecs
san-diego,SanDiego,SanDiego,SanDiego,san-diego-toreros
san-francisco,SanFrancisco,SanFrancisco,SanFrancisco,san-francisco-dons
san-jose-state,SanJoseState,SanJoseSt,SanJoseSt,san-jose-st.-spartans
santa-clara,SantaClara,SantaClara,SantaClara,santa-clara-broncos
seattle,Seattle,Seattle,Seattle,seattle-redhawks
seton-hall,SetonHall,SetonHall,SetonHall,seton-hall-pirates
siena,Siena,Siena,Siena,siena-saints
south-alabama,SouthAlabama,SAlabama,SouthAlabama,south-alabama-jaguars
south-carolina,SouthCarolina,SCarolina,SouthCarolina,south-carolina-gamecocks
south-carolina-state,SouthCarolinaState,SCarState,SouthCarolinaState,south-carolina-state-bulldogs
south-carolina-upstate,SouthCarolinaUpstate,SCUpstate,SouthCarolinaUpstate,south-carolina-upstate-spartans
south-dakota,SouthDakota,SouthDakota,SouthDakota,south-dakota-coyotes
south-dakota-state,SouthDakotaState,SDakotaSt,SouthDakotaState,south-dakota-state-jackrabbits
south-florida,SouthFlorida,SFlorida,SouthFlorida,south-florida-bulls
southeast-missouri-state,SoutheastMissouriState,SEMissouri,SEMissouriSt,se-missouri-st.-redhawks
southeastern-louisiana,SoutheasternLouisiana,SELouisiana,SoutheasternLouisiana,southeastern-louisiana-lions
southern-california,SouthernCalifornia,USC,SouthernCalifornia,southern-california-trojans
southern-illinois,SouthernIllinois,SIllinois,SouthernIllinois,southern-illinois-salukis
southern-illinois-edwardsville,SouthernIllinoisEdwardsville,SIUEdward,SIUEdwardsville,siu-edwardsville-cougars
southern,Southern,Southern,Southern,southern-jaguars
southern-methodist,SouthernMethodist,SMethodist,SouthernMethodist,southern-methodist-mustangs
southern-mississippi,SouthernMississippi,SMississippi,SouthernMiss,southern-miss-golden-eagles
southern-utah,SouthernUtah,SUtah,SouthernUtah,southern-utah-thunderbirds
st-bonaventure,StBonaventure,StBonavent,StBonaventure,st.-bonaventure-bonnies
st-francis-ny,StFrancisNY,StFranNY,StFrancisBKN,st.-francis-bkn-terriers
st-johns-ny,StJohnsNY,StJohns,StJohns,st.-john-s-red-storm
st-thomas-mn,StThomasMN,StThomasMN,,st.-thomas-mn-tommies
stanford,Stanford,Stanford,Stanford,stanford-cardinal
stephen-f-austin,StephenFAustin,SteFAustin,StephenFAustin,stephen-f.-austin-lumberjacks
stetson,Stetson,Stetson,Stetson,stetson-hatters
stony-brook,StonyBrook,StonyBrook,StonyBrook,stony-brook-seawolves
syracuse,Syracuse,Syracuse,Syracuse,syracuse-orange
tarleton-state,TarletonState,TarletonState,TarletonState,tarleton-state-texans
texas-christian,TCU,TXChristian,TexasChristian,texas-christian-horned-frogs
temple,Temple,Temple,Temple,temple-owls
tennessee-state,TennesseeState,TNState,TennesseeSt,tennessee-st.-tigers
tennessee-tech,TennesseeTech,TNTech,TennesseeTech,tennessee-tech-golden-eagles
tennessee,Tennessee,Tennessee,Tennessee,tennessee-volunteers
tennessee-martin,TennesseeMartin,TNMartin,TennMartin,tenn-martin-skyhawks
texas-am,TexasAM,TexasAM,TexasAM,texas-a-m-aggies
texas-am-corpus-christi,TexasAMCorpusChristi,TXAMCC,TexasAMCC,texas-a-m-cc-islanders
texas,Texas,Texas,Texas,texas-longhorns
texas-southern,TexasSouthern,TXSouthern,TexasSouthern,texas-southern-tigers
texas-state,TexasState,TexasState,TexasState,texas-state-bobcats
texas-tech,TexasTech,TexasTech,TexasTech,texas-tech-red-raiders
texas-pan-american,TexasRioGrandeValley,TXPanAm,TexasRioGrandeValley,texas-rio-grande-valley-vaqueros
citadel,TheCitadel,Citadel,TheCitadel,the-citadel-bulldogs
toledo,Toledo,Toledo,Toledo,toledo-rockets
towson,Towson,Towson,Towson,towson-tigers
troy,Troy,Troy,Troy,troy-trojans
tulane,Tulane,Tulane,Tulane,toledo-rockets
tulsa,Tulsa,Tulsa,Tulsa,tulsa-golden-hurricane
alabama-birmingham,UAB,UAB,UAB,uab-blazers
california-davis,UCDavis,UCDavis,UCDavis,uc-davis-aggies
california-irvine,UCIrvine,UCIrvine,UCIrvine,uc-irvine-anteaters
california-riverside,UCRiverside,UCRiverside,UCRiverside,uc-riverside-highlanders
california-san-diego,UCSanDiego,UCSanDiego,UCSanDiego,uc-san-diego-tritons
california-santa-barbara,UCSantaBarbara,UCSB,UCSantaBarbara,uc-santa-barbara-gauchos
ucla,UCLA,UCLA,UCLA,ucla-bruins
north-carolina-asheville,UNCAsheville,NCAsheville,UNCAsheville,unc-asheville-bulldogs
north-carolina-greensboro,UNCGreensboro,NCGrnsboro,UNCGreensboro,unc-greensboro-spartans
north-carolina-wilmington,UNCWilmington,NCWilmgton,UNCWilmington,unc-wilmington-seahawks
texas-arlington,UTArlington,TXArlington,TexasArlington,texas-arlington-mavericks
utah-state,UtahState,UtahState,UtahSt,utah-st.-aggies
utah,Utah,Utah,Utah,utah-utes
utah-valley,UtahValley,UtahValSt,UtahValley,utah-valley-wolverines
texas-el-paso,UTEP,TXElPaso,TexasElPaso,texas-el-paso-miners
texas-san-antonio,UTSA,TXSanAnt,TexasSanAntonio,texas-san-antonio-roadrunners
valparaiso,Valparaiso,Valparaiso,Valparaiso,valparaiso-beacons
vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,vanderbilt-commodores
vermont,Vermont,Vermont,Vermont,vermont-catamounts
villanova,Villanova,Villanova,Villanova,villanova-wildcats
virginia,Virginia,Virginia,Virginia,virginia-cavaliers
virginia-commonwealth,VirginiaCommonwealth,VCU,VCU,vcu-rams
virginia-military-institute,VirginiaMilitaryInstitute,VAMilitary,VMI,vmi-keydets
virginia-tech,VirginiaTech,VATech,VirginiaTech,virginia-tech-hokies
wagner,Wagner,Wagner,Wagner,wagner-seahawks
wake-forest,WakeForest,WakeForest,WakeForest,wake-forest-demon-deacons
washington,Washington,Washington,Washington,washington-huskies
washington-state,WashingtonState,WashState,WashingtonSt,washington-st.-cougars
weber-state,WeberState,WeberState,WeberSt,weber-st.-wildcats
west-virginia,WestVirginia,WVirginia,WestVirginia,west-virginia-mountaineers
western-carolina,WesternCarolina,WCarolina,WesternCarolina,western-carolina-catamounts
western-illinois,WesternIllinois,WIllinois,WesternIllinois,western-illinois-leathernecks
western-kentucky,WesternKentucky,WKentucky,WesternKentucky,western-kentucky-hilltoppers
western-michigan,WesternMichigan,WMichigan,WesternMichigan,western-michigan-broncos
wichita-state,WichitaState,WichitaSt,WichitaSt,wichita-st.-shockers
william-mary,WilliamMary,WmMary,WilliamMary,william-mary-tribe
winthrop,Winthrop,Winthrop,Winthrop,winthrop-eagles
wisconsin,Wisconsin,Wisconsin,Wisconsin,wisconsin-badgers
wofford,Wofford,Wofford,Wofford,wofford-terriers
wright-state,WrightState,WrightState,WrightSt,wright-st.-raiders
wyoming,Wyoming,Wyoming,Wyoming,wyoming-cowboys
xavier,Xavier,Xavier,Xavier,xavier-musketeers
yale,Yale,Yale,Yale,yale-bulldogs
youngstown-state,YoungstownState,YoungsSt,YoungstownSt,youngstown-st.-penguins